Name;Label;Dataset;Precision Avg.;Precision Std.;Recall Avg.;Recall Std.
RandomForestClassifier;RandomForestClassifier;ENRON;0,99;0,01;0,96;0,03
RandomForestClassifier;RandomForestClassifier;INFO1;0,74;0,01;0,81;0,02
RandomForestClassifier;RandomForestClassifier;EUSES;0,87;0,05;0,47;0,06
RandomForestClassifier;RandomForestClassifier;ENRON+INFO1;0,7752;0,0133;0,9071;0,015
RandomForestClassifier;RandomForestClassifier;ENRON+EUSES;0,9393;0,0281;0,664;0,0505
RandomForestClassifier;RandomForestClassifier;INFO1+EUSES;0,7478;0,0161;0,7646;0,0173
RandomForestClassifier;RandomForestClassifier;ENRON+INFO1+EUSES;0,7649;0,0142;0,7803;0,0148
