Name;Dataset;Index;Feature 0;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5;Feature 6;Feature 7;Feature 8;Feature 9;Feature 10;Feature 11;Feature 12;Feature 13;Feature 14;Feature 15;Feature 16;Feature 17;Feature 18;Feature 19;Feature 20;Feature 21;Feature 22;Feature 23;Feature 24;Feature 25;Feature 26;Feature 27;Feature 28;Feature 29;Feature 30;Feature 31;Feature 32;Feature 33;Feature 34;Feature 35;Feature 36;Feature 37;Feature 38;Feature 39;Feature 40;Feature 41;Feature 42;Feature 43;Feature 44;Feature 45;Feature 46;Feature 47;Feature 48;Feature 49;Feature 50;Feature 51;Feature 52;Feature 53;Feature 54;Feature 55;Feature 56;Feature 57;Feature 58;Feature 59;Feature 60;Feature 61;Feature 62;Feature 63
feature importances;INFO1;10;0,02987282;0,00361502;0,00494620;0,00782951;0,01102488;0,00212250;0,00064660;0,00347480;0,02517675;0,02605458;0,03033158;0,00079748;0,03026944;0,00813415;0,00492158;0,02142100;0,00726561;0,00000365;0,03044086;0,03202328;0,00208707;0,00223761;0,00681200;0,00049094;0,00000000;0,00246999;0,00847563;0,00616269;0,00299286;0,02539723;0,00410567;0,00167805;0,00000000;0,04570180;0,00012661;0,01862138;0,00727534;0,04031018;0,07870766;0,04232711;0,00000000;0,02914294;0,02906775;0,01402757;0,00830575;0,00071288;0,05608070;0,05029095;0,00520157;0,00000000;0,00000000;0,00754071;0,00767265;0,00000000;0,01697991;0,01708184;0,01474292;0,02743624;0,00009350;0,04680921;0,01964990;0,02595657;0,02807361;0,01878073
feature importances;INFO1;11;0,02236795;0,00366021;0,00318636;0,00396308;0,00878621;0,00274126;0,00189435;0,00539036;0,01734248;0,02102710;0,02489874;0,00898971;0,01401711;0,00646799;0,01001025;0,00321892;0,01088181;0,00000114;0,02133744;0,02844012;0,00039506;0,00008995;0,01236894;0,00006450;0,00000000;0,00785241;0,01608978;0,00106829;0,01055369;0,03828266;0,00289552;0,00000000;0,00000000;0,05798768;0,00111896;0,00175156;0,00357017;0,04303774;0,04853952;0,03061773;0,00016372;0,04094796;0,02046479;0,04282916;0,00557766;0,00126834;0,04064766;0,07093792;0,01315244;0,00000000;0,00000000;0,01941049;0,00456628;0,00000000;0,02763077;0,01324945;0,03580399;0,05434536;0,00003511;0,02012729;0,00451788;0,02911589;0,05392900;0,00637206
feature importances;INFO1;12;0,03262724;0,00337619;0,01578953;0,01895571;0,01499689;0,00195207;0,00007002;0,00375256;0,02697288;0,02763816;0,00502198;0,00047887;0,01457094;0,00453998;0,00933248;0,01796856;0,00348174;0,00002148;0,01009792;0,03200612;0,00138260;0,00152057;0,00807870;0,00021064;0,00000000;0,00698904;0,01182581;0,00000890;0,01193334;0,02763373;0,00592841;0,00251359;0,00000000;0,06543736;0,00172658;0,00520071;0,00550452;0,04582613;0,06871231;0,03636051;0,00030809;0,03542419;0,01317235;0,03844109;0,00118173;0,00083995;0,04984942;0,06535093;0,00909627;0,00000000;0,00000000;0,02705060;0,00237816;0,00000000;0,02241841;0,02649710;0,01461426;0,03896664;0,00643181;0,02245033;0,00198740;0,03231253;0,02566980;0,01511417
feature importances;INFO1;13;0,03032161;0,00514690;0,00350158;0,00403726;0,02143297;0,01296366;0,00141707;0,00403029;0,02025519;0,01834226;0,01074155;0,00163859;0,00870196;0,00267135;0,01325899;0,01902715;0,00702767;0,00014803;0,01027778;0,01606303;0,00008222;0,00658875;0,00898212;0,00028463;0,00015258;0,00728121;0,01269273;0,00306300;0,01254331;0,04714060;0,00603696;0,00014986;0,00000000;0,03775360;0,00620195;0,00378076;0,00178384;0,05875915;0,04085142;0,09663719;0,00006394;0,01047391;0,02841488;0,02671275;0,00019489;0,00471065;0,07215317;0,04842135;0,00833184;0,00000000;0,00000000;0,00457197;0,00551167;0,00000000;0,04105421;0,03394265;0,02249212;0,05213168;0,00024306;0,01030987;0,00706861;0,02664833;0,01898205;0,01579563
feature importances;INFO1;14;0,04496789;0,00385548;0,00175371;0,00855560;0,00830103;0,01319888;0,00103294;0,00646304;0,01862184;0,01937195;0,00398269;0,00253777;0,02460712;0,00752870;0,00273652;0,01383514;0,01545403;0,00000000;0,01155002;0,02167243;0,00114727;0,00194193;0,01251988;0,00014252;0,00004169;0,00801637;0,02672551;0,00719711;0,00293877;0,04404715;0,00421531;0,00314165;0,00000000;0,04475693;0,00020745;0,00167319;0,00995359;0,07627103;0,02686200;0,06156269;0,00006868;0,03869475;0,00885139;0,03986607;0,00264902;0,00041527;0,03327173;0,06204595;0,01493146;0,00000000;0,00000000;0,02589800;0,00744003;0,00000000;0,02688695;0,04849612;0,02647030;0,03125844;0,00432077;0,00987549;0,00336820;0,01590459;0,01819213;0,01770586
feature importances;INFO1;15;0,03237834;0,00363806;0,00765077;0,00286178;0,02959862;0,00434922;0,00804073;0,00368069;0,01958424;0,02084279;0,01387249;0,00053667;0,01684280;0,00709550;0,00495934;0,01951877;0,01228605;0,00000356;0,01408074;0,02715667;0,00204647;0,00108432;0,00546824;0,00000797;0,00000000;0,00619670;0,03780219;0,00523019;0,00416923;0,04057401;0,00479556;0,00043912;0,00000000;0,03705445;0,00619816;0,00002716;0,00040239;0,04038567;0,06640164;0,03163018;0,00047803;0,01088167;0,01505452;0,05369691;0,00137518;0,00212841;0,07299747;0,06106616;0,01230651;0,00000000;0,00000000;0,03068808;0,00600592;0,00000000;0,03121719;0,02338776;0,01211574;0,04172425;0,00100205;0,02468867;0,00322886;0,02222432;0,03277147;0,00206932
feature importances;INFO1;16;0,02543439;0,00393724;0,00486648;0,00748570;0,00282751;0,01250937;0,00210252;0,00422271;0,02497607;0,02058482;0,01795478;0,00086156;0,01475028;0,00913689;0,00305358;0,00414476;0,00984375;0,00018188;0,00730032;0,03111542;0,00012029;0,00304053;0,01525589;0,00000770;0,00000000;0,00349815;0,01272313;0,00178661;0,00660356;0,05475607;0,00567951;0,00088754;0,00000000;0,03966530;0,00654652;0,00000000;0,00600220;0,04441080;0,08596639;0,03560485;0,00001097;0,04728747;0,01769288;0,02338274;0,01413246;0,00486082;0,05423097;0,04619412;0,01873714;0,00000000;0,00000000;0,03611964;0,00332734;0,00000000;0,01211373;0,04521508;0,02208470;0,03089730;0,00030877;0,01964321;0,00257632;0,02067191;0,03625719;0,01441015
feature importances;INFO1;17;0,02467614;0,00381881;0,00172988;0,00365153;0,00712821;0,01680112;0,00469425;0,00337820;0,02150701;0,02514240;0,01419210;0,00024642;0,03427251;0,01086085;0,01428868;0,03202045;0,00805975;0,00000000;0,01090757;0,03434188;0,00047934;0,00173635;0,00944547;0,00004086;0,00000438;0,00765550;0,02480804;0,00980537;0,01380273;0,03904028;0,01761805;0,00010020;0,00042182;0,03013381;0,00498147;0,00712339;0,00773097;0,04058907;0,02788280;0,08251845;0,00042292;0,02048094;0,03850639;0,01960394;0,00387091;0,00313525;0,02282747;0,05993313;0,00252088;0,00000000;0,00000000;0,02441959;0,00192668;0,00000000;0,01848355;0,02603493;0,02649678;0,02545955;0,00180828;0,03871021;0,00227779;0,02393320;0,01554166;0,02596989
feature importances;INFO1;18;0,04051819;0,00528626;0,00081429;0,00293957;0,00364049;0,00558930;0,00664388;0,00418332;0,02302843;0,02995141;0,00347382;0,00033159;0,00888963;0,01707999;0,00253398;0,02545014;0,00432090;0,00000000;0,01286636;0,01793468;0,00073673;0,00220272;0,00995063;0,00000000;0,00016611;0,00465337;0,01246264;0,00346867;0,00353975;0,05081323;0,00450650;0,00031828;0,00000000;0,03275467;0,01207749;0,00241528;0,00151455;0,04384114;0,05884909;0,07972720;0,00033100;0,04908986;0,01464260;0,03043882;0,00457554;0,00061213;0,04620788;0,06956347;0,01205010;0,00000000;0,00000000;0,02225834;0,00579233;0,00000000;0,03034029;0,01772356;0,02267344;0,02536321;0,00934622;0,02275234;0,00573865;0,04955097;0,01393409;0,00754087
feature importances;INFO1;19;0,02133133;0,00417594;0,00860349;0,00562603;0,00673375;0,00320784;0,00092939;0,00452630;0,02161081;0,02477884;0,02679461;0,00039916;0,01535688;0,00931125;0,00601886;0,03093975;0,00823074;0,00000091;0,01655199;0,03038330;0,00079978;0,00001109;0,00509371;0,00003869;0,00001404;0,00595620;0,01359156;0,01438015;0,01452069;0,03470286;0,00593740;0,00021311;0,00000812;0,05092253;0,00308378;0,00086696;0,00178819;0,03826655;0,04787322;0,05942853;0,00000829;0,07167868;0,02155879;0,03425735;0,00176636;0,00370690;0,03379313;0,05225642;0,01406386;0,00000000;0,00000000;0,00509148;0,00936225;0,00000000;0,03762776;0,01033832;0,01832391;0,03328664;0,01871718;0,03114625;0,00509598;0,01924350;0,02032005;0,01534859
feature importances;INFO1;20;0,04008518;0,00649675;0,00895442;0,01163818;0,02074746;0,01287641;0,00008264;0,00513861;0,02073371;0,02899398;0,00657146;0,00131186;0,00471835;0,00196332;0,00356163;0,01596708;0,00850047;0,00000005;0,02615458;0,03298718;0,00046268;0,00138823;0,01558786;0,00074601;0,00008292;0,00419489;0,00902641;0,00319590;0,00383694;0,03288122;0,00272022;0,00036611;0,00005213;0,01808111;0,01798684;0,01395016;0,00042178;0,05294473;0,03031781;0,07715103;0,00009839;0,03309442;0,02501728;0,00922487;0,00438762;0,00023152;0,05359963;0,05198081;0,02661698;0,00000000;0,00000000;0,02040581;0,00566501;0,00000000;0,04117690;0,02305662;0,02725920;0,01970965;0,01583551;0,01711584;0,00432808;0,04661810;0,01971267;0,01198682
feature importances;INFO1;21;0,04200145;0,00487853;0,00173342;0,00313474;0,00359241;0,04136695;0,00214197;0,00518999;0,02475105;0,02008465;0,01044314;0,00066603;0,02358501;0,00479108;0,00771289;0,01848093;0,00794910;0,00000127;0,01783008;0,01940222;0,00034401;0,00018812;0,00427101;0,00005024;0,00000337;0,00444993;0,01762555;0,00059533;0,00605995;0,04294344;0,00550231;0,00037551;0,00062650;0,01793769;0,00228694;0,00837059;0,00559483;0,06211133;0,02844525;0,04527177;0,00000227;0,02465757;0,02874133;0,00556568;0,00565565;0,00643951;0,08676813;0,05913424;0,01819240;0,00000000;0,00000000;0,03774989;0,00867924;0,00000000;0,02295768;0,02158646;0,01819702;0,03468746;0,00017968;0,02400498;0,00359729;0,03635264;0,03299192;0,01106832
feature importances;INFO1;22;0,03837738;0,00542413;0,00763310;0,00383856;0,00723590;0,00623358;0,00038147;0,00351300;0,02030901;0,02404124;0,01174143;0,00119008;0,01400828;0,01557700;0,00521188;0,02934089;0,00087035;0,00003898;0,01144946;0,03287664;0,00625343;0,00034626;0,00957199;0,00000000;0,00000000;0,00422870;0,00842567;0,00051580;0,00646054;0,06683980;0,00509912;0,00045585;0,00000000;0,02243463;0,02054751;0,00000694;0,00359195;0,06604307;0,05582799;0,03680834;0,00227332;0,01084842;0,03181042;0,03934083;0,00130856;0,00409561;0,04957917;0,05679127;0,00542824;0,00000000;0,00000000;0,05276447;0,00368491;0,00000000;0,03221980;0,01834347;0,02977573;0,03497359;0,00990325;0,01866094;0,00129002;0,01527464;0,02542133;0,00346205
feature importances;INFO1;23;0,03338302;0,00387249;0,01401926;0,01343060;0,00393261;0,01400718;0,00130221;0,00503555;0,02250273;0,01463341;0,00897583;0,00443341;0,01213959;0,00200577;0,00728941;0,03742481;0,00526770;0,00007105;0,01492604;0,03937737;0,00032526;0,00222387;0,01675025;0,00003581;0,00001831;0,01274827;0,01159986;0,00606919;0,00573222;0,02451252;0,00317305;0,00005788;0,00000000;0,04493584;0,00076654;0,00239844;0,00000117;0,05708614;0,03104545;0,06695471;0,00000126;0,03608273;0,01001757;0,03589322;0,00522892;0,00784354;0,04029450;0,06651381;0,01341111;0,00000000;0,00000000;0,03382407;0,01374411;0,00000000;0,02769505;0,00912168;0,02095320;0,05411449;0,00008501;0,02210515;0,00237631;0,01812450;0,02261986;0,01548505
feature importances;INFO1;24;0,02043128;0,00371942;0,00339191;0,00447337;0,01700143;0,00641008;0,00202365;0,00310218;0,01999664;0,02152974;0,01923266;0,00169133;0,01972805;0,01071859;0,00472441;0,01964033;0,00723942;0,00002363;0,03159052;0,02690301;0,00105668;0,00263459;0,00895917;0,00010676;0,00000000;0,01688492;0,01805208;0,00963139;0,00445459;0,04166772;0,00557257;0,00022939;0,00000000;0,03307066;0,00673560;0,00431157;0,00623355;0,04830595;0,04426624;0,07222907;0,00059632;0,03758945;0,00643035;0,00425607;0,00135864;0,00291983;0,06249219;0,04592766;0,02002946;0,00000000;0,00000000;0,03060777;0,00702260;0,00000000;0,02716402;0,02250472;0,02704777;0,02646392;0,02066163;0,03118218;0,00354521;0,02800146;0,02298613;0,00323846
feature importances;INFO1;25;0,02891806;0,00247223;0,01753152;0,00202353;0,00374119;0,01197443;0,00005552;0,00264902;0,01659638;0,02477450;0,00569593;0,00082997;0,02600080;0,00650661;0,00404708;0,03332548;0,00105708;0,00005937;0,00800379;0,02036616;0,00703224;0,00246089;0,01356443;0,00004452;0,00031576;0,00954026;0,00693783;0,00018379;0,01026196;0,03504110;0,00824110;0,00116676;0,00009079;0,04696698;0,00336600;0,00340698;0,00835037;0,05868013;0,04607328;0,06727969;0,00003060;0,02822721;0,04261741;0,00480673;0,01428308;0,00006232;0,04485256;0,08294268;0,01779480;0,00000000;0,00000000;0,00808703;0,00526535;0,00000000;0,04573826;0,01311167;0,02802718;0,02846898;0,00870649;0,02718578;0,00601553;0,01480639;0,02722897;0,00610748
feature importances;INFO1;26;0,02599134;0,00456620;0,00247747;0,00864552;0,00964033;0,01432449;0,00197385;0,00877313;0,02482379;0,02514530;0,00910749;0,00046289;0,01672994;0,00720562;0,01132822;0,01839349;0,00993551;0,00000066;0,02475176;0,04504526;0,00084639;0,00011886;0,00657794;0,00015449;0,00000000;0,00407038;0,02482922;0,00195257;0,00666813;0,04147855;0,00150514;0,00020938;0,00000000;0,06014446;0,00001562;0,01628952;0,00401855;0,08527651;0,02305507;0,03302033;0,00270042;0,04711094;0,01226972;0,02734740;0,00905072;0,00556843;0,02822811;0,06635321;0,00563804;0,00000000;0,00000000;0,01951284;0,01334541;0,00000000;0,01988196;0,01551580;0,01411889;0,04369526;0,00099884;0,00643051;0,01054806;0,02242523;0,03705296;0,01265385
feature importances;INFO1;27;0,03084772;0,00565792;0,00310119;0,00243508;0,00288678;0,02451242;0,00090466;0,00610960;0,03071197;0,02695272;0,00435826;0,00491643;0,01127163;0,00370880;0,00919323;0,00990254;0,00472736;0,00000000;0,03218258;0,02477579;0,00217070;0,00165810;0,01360487;0,00000000;0,00023535;0,00436814;0,01221813;0,00652557;0,00514904;0,04628834;0,00284242;0,00007993;0,00000000;0,03329450;0,00242717;0,00089956;0,00387128;0,06126740;0,02047188;0,05495364;0,00000000;0,04671247;0,01310557;0,00479646;0,00061745;0,00086301;0,07955310;0,06231461;0,02402437;0,00000000;0,00000000;0,01538766;0,00283150;0,00000000;0,03371981;0,04768636;0,02014601;0,02603827;0,00135300;0,02695053;0,00281627;0,05062835;0,02171474;0,00725776
